video_id,title,channel_title,category_name,country,views,likes,dislikes,comment_count,like_ratio,comment_ratio,title_sentiment,publish_time,publish_day,publish_hour
rqIzjhh2Yt0,"BREAKING EVERYTHING WITH A $4,000 TUNGSTEN CUBE",OfflineTV,News & Politics,US,853113,45065,0,2347,1,0.0028,0,2025-05-10 22:33:30+00:00,Saturday,22
NpYPxfqWvWw,MIA MADRE E IL METEO #danielecondotta #comedy,Daniele Condotta,Entertainment,IT,843330,31568,0,198,1,0.0002,0,2025-05-06 12:01:08+00:00,Tuesday,12
swuB5IuMbP8,I Got The Worlds Best Minecraft Weapon,Carvs,Gaming,US,825664,20110,0,1375,1,0.0017,1,2025-05-10 13:01:35+00:00,Saturday,13
8Fv6fJXjxao,Редакция News: 168-я неделя,Редакция,People & Blogs,RU,823610,20544,0,2387,1,0.0029,0,2025-05-11 07:55:08+00:00,Sunday,7
W4E3u7WOkuo,"ANNA (அண்ணா) | திங்கள்-வெள்ளி, இரவு 8.30 மணிக்கு | 11 May 25 | Promo | Zee Tamil",Zee Tamil,Entertainment,IN,809188,15154,0,117,0.9999,0.0001,0,2025-05-11 04:45:01+00:00,Sunday,4
yuKgVWSjy4o,Kanna Laddu Thinna Aasaiya - Back to Back Comedy Scenes😂 | Santhanam |Sethu | Power star |Adithya TV,Adithya TV,Comedy,IN,801611,7504,0,127,0.9999,0.0002,0,2025-05-10 09:30:28+00:00,Saturday,9
uruv6C0aR9M,"Getti Melam (கெட்டி மேளம்) | Mon-Fri, 7:30 PM | 11 May 25 | Promo | Zee Tamil",Zee Tamil,Entertainment,IN,796058,13490,0,96,0.9999,0.0001,0,2025-05-11 04:30:38+00:00,Sunday,4
jpMBC7OwCXI,L'Algérino feat Franglish & Alonzo - La Gari (Clip Officiel),L'Algerino,Music,FR,790778,7212,0,350,0.9999,0.0004,0,2025-05-09 15:00:13+00:00,Friday,15
InxXnmZhjKQ,Outer Banks - First Impressions 🇺🇸,Peter Santenello,Travel & Events,US,790769,23578,0,2336,1,0.003,0.25,2025-05-10 15:00:24+00:00,Saturday,15
gLK2DgRgBhc,Pond Skim Season is Upon Us ⛷️ #Shorts,GoPro Snow,Sports,IT,790191,9614,0,55,0.9999,0.0001,0,2025-05-07 16:01:00+00:00,Wednesday,16
aQxoIKnQs-I,Is Squad saved?! 🥹 (FULL STORY),Squad Busters,Gaming,FR,784781,24708,0,1445,1,0.0018,0.35,2025-05-09 13:42:38+00:00,Friday,13
aQxoIKnQs-I,Is Squad saved?! 🥹 (FULL STORY),Squad Busters,Gaming,US,784781,24708,0,1445,1,0.0018,0.35,2025-05-09 13:42:38+00:00,Friday,13
aQxoIKnQs-I,Is Squad saved?! 🥹 (FULL STORY),Squad Busters,Gaming,DE,784781,24708,0,1445,1,0.0018,0.35,2025-05-09 13:42:38+00:00,Friday,13
4pAxFxxyNbk,Alessio - Ho voglia di te,Alessio Official TV,Music,IT,783548,50860,0,806,1,0.001,0,2025-05-07 12:00:09+00:00,Wednesday,12
qiQla_yNpsU,Thomas Müller and his emotional  farewell from the Allianz Arena!,FC Bayern München,Sports,DE,768803,27050,0,1279,1,0.0017,0,2025-05-10 19:50:59+00:00,Saturday,19
6qMkep6gKBw,Лучший фокус - пранк! #shorts,Роман Magic,People & Blogs,RU,763279,24369,0,27,1,0,0,2025-05-10 07:00:05+00:00,Saturday,7
AeAwyVCct1Y,"""Произошло ЧЁТКОЕ деление!"" // КЕДМИ про парад на Красной площади, речь Лукашенко 9 мая",Информационное агентство БелТА,News & Politics,RU,734596,18505,0,1969,0.9999,0.0027,0,2025-05-10 17:45:06+00:00,Saturday,17
gRCsc8bRvAM,How Big Can Hulk Get?,EYstreem,Gaming,US,727023,9458,0,1968,0.9999,0.0027,0,2025-05-10 02:00:40+00:00,Saturday,2
